"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Language of Original Document","Document Type","Publication Stage","Open Access","Source","EID"
"Montiel-Espinosa G.","Montiel-Espinosa, Gisela (56715791300)","56715791300","The role of participation and communication in mathematics education research. What will be the agreements of the Latin American community?; [ROLES DE PARTICIPACIÓN Y COMUNICACIÓN EN LA INVESTIGACIÓN EN MATEMÁTICA EDUCATIVA. ¿CUÁLES SERÁN LOS ACUERDOS DE LA COMUNIDAD LATINOAMERICANA?]","2022","Revista Latinoamericana de Investigacion en Matematica Educativa","25","3","","253","262","9","0","10.12802/relime.22.253020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168614787&doi=10.12802%2frelime.22.253020&partnerID=40&md5=61d0446b2a85a6e6ef2ab584eb4a5ebd","Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional (Cinvestav), Mexico","Montiel-Espinosa G., Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional (Cinvestav), Mexico","[No abstract available]","","","Spanish","Editorial","Final","","Scopus","2-s2.0-85168614787"
"Radovic S. D.; Pampaka M.","Radovic S., Darinka (58599551800); Pampaka, María (8316521800)","58599551800; 8316521800","Relationship between students’ perceptions of mathematical teaching, sex and mathematical attitudes; [RELACIÓN ENTRE PERCEPCIONES DE LA ENSEÑANZA, SEXO Y ACTITUDES HACÍA LAS MATEMÁTICAS DE ESTUDIANTES]","2023","Revista Latinoamericana de Investigacion en Matematica Educativa","25","3","","311","340","29","0","10.12802/RELIME.22.2533","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171532301&doi=10.12802%2fRELIME.22.2533&partnerID=40&md5=a19618a1c136a8993daadef425389658","Universidad de Chile, Chile; The University of Manchester, United Kingdom","Radovic S. D., Universidad de Chile, Chile; Pampaka M., The University of Manchester, United Kingdom","This paper explores the relationship between students’ perceptions of the type of teaching they experience in mathematics [more or less student centred] and their reported emotions, self-concept and disposition. It also addresses the question of whether there are differences in this relationship for girls and boys. It uses survey data from almost 300 year 7 Chilean students, clustered in 8 different classrooms. A correlational analysis suggests that there is a positive significant association between how student centred the teaching is perceived to be and students’ more positive attitudes. Nevertheless, this effect was independent of sex, suggesting that more student-centred teching do not necessarily offer an advantage for girls, but are positive for both, boys and girls. © 2023, Comite Latinoamericano de Matematica Educativa. All rights reserved.","Attitudes; Sex; Student-centred teaching; Teaching style","","Spanish","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85171532301"
"Montes M.; Isabel Pascual M.; Climent N.","Montes, Miguel (56530232300); Isabel Pascual, Ma (57223207427); Climent, Nuria (55312619800)","56530232300; 57223207427; 55312619800","A teaching experiment in continuing education structured by the mtsk model; [Un experimento de enseñanza en formación continua estructurado por el modelo mtsk]","2021","Revista Latinoamericana de Investigacion en Matematica Educativa","24","1","","83","104","21","2","10.12802/RELIME.21.2414","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105119369&doi=10.12802%2fRELIME.21.2414&partnerID=40&md5=e298c55fa49971256ef3799e5ef44e85","Universidad de Huelva, Spain","Montes M., Universidad de Huelva, Spain; Isabel Pascual M., Universidad de Huelva, Spain; Climent N., Universidad de Huelva, Spain","The education of graduated teachers is an underexplored field in Mathematics Education. We present a teaching experiment focusing graduated teacher education, structured by the model of Mathematics Teachers’ Specialized Knowledge. This experiment took place in the University of Huelva with 39 primary teachers, in the context of a course aiming to actualize the old teaching degrees to the new ones. The experiment was founded in the model of Mathematics Teachers Specialized Knowledge, that also was used to generate a progression hypothesis. We will show both the design of the experiment, and the retrospective analysis of this cycle. The results of the study show that the primary school teachers involved in the experiment improve their use of their knowledge of topics and knowledge of mathematics teaching. © 2021, Comite Latinoamericano de Matematica Educativa. All rights reserved.","Graduated Teachers; Professional Development; Professional Knowledge; Specialized Knowledge; Teaching Experiment","","Spanish","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85105119369"
"Montiel-Espinosa G.","Montiel-Espinosa, Gisela (58582411900)","58582411900","The editorial role. a team look with academic and professional direction; [EL ROL EDITORIAL. UNA MIRADA DE EQUIPO CON DIRECCIÓN ACADÉMICA Y PROFESIONAL]","2023","Revista Latinoamericana de Investigacion en Matematica Educativa","26","2","","143","146","3","0","10.12802/relime.23.2620","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205229473&doi=10.12802%2frelime.23.2620&partnerID=40&md5=d5e1022a0b756240cc44682ae6d17424","Centro de Investigación y de Estudios Avanzados, Mexico","Montiel-Espinosa G., Centro de Investigación y de Estudios Avanzados, Mexico","[No abstract available]","","","Spanish","Editorial","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85205229473"
"Santana E.; Serrazina L.; Nunes C.","Santana, Eurivalda (57040824200); Serrazina, Lurdes (55849544400); Nunes, Célia (57040623500)","57040824200; 55849544400; 57040623500","Contributions of a formative process for the professional development of teachers involved; [Contribuições de um processo formativo para o desenvolvimento profissional dos professores envolvidos]","2019","Revista Latinoamericana de Investigacion en Matematica Educativa","22","1","","11","38","27","2","10.12802/RELIME.19.2211","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066424890&doi=10.12802%2fRELIME.19.2211&partnerID=40&md5=0dc291d9afd2b86e29755eb239675005","Universidade Estadual de Santa Cruz, Brazil; UIDEF, Instituto de Educação, Universidade de Lisboa, Portugal; Universidade do Estado da Bahia Campus X, Brazil","Santana E., Universidade Estadual de Santa Cruz, Brazil; Serrazina L., UIDEF, Instituto de Educação, Universidade de Lisboa, Portugal; Nunes C., Universidade do Estado da Bahia Campus X, Brazil","This article aims to analyze the perspectives of the teachers about a formative process, in which they participated, and how this process contributes to their professional development. The research refers to an education project of 17 female teachers, from the 1st to the 9th year of schooling, carried out by the Mathematics, Statistics and Sciences Education Research Group (GPEMEC). The analyzed data were collected through the training evaluation sheets (at the end of each working session), the final evaluation questionnaire and semi-structured interviews. The purpose of the education was to intervene in teachers’ practice in the axes of curricular knowledge of mathematics: Information Processing and Geometry. The results show that the teachers recognize that the education process elicits benefits for their classroom practice, bring challenges to their own learning and that of the student, overcoming difficulties, improvement of practice and reflections on teaching. © 2019, Comite Latinoamericano de Matematica Educativa. All rights reserved.","Curricular knowledge of mathematics; Didactical knowledge; Formative process; Professional development","","Portuguese","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85066424890"
"Cantoral R.; Ríos Jarquín W.; Reyes Gasperini D.; Cantoral Uriza E.A.; Barrios E.B.; Fallas Soto R.; Castillo Bárcena D.; Cantoral Farfán E.; Galo Alvarenga S.; Flores García R.; Paredes Cancino C.; García Zaragoza V.; Bonilla Solano A.","Cantoral, Ricardo (56000894900); Ríos Jarquín, Wendolyne (57210344722); Reyes Gasperini, Daniela (55330821600); Cantoral Uriza, Enrique A. (55989773800); Barrios, Eleany Barrios (57217132132); Fallas Soto, Rodolfo (57222579710); Castillo Bárcena, David (57217133447); Cantoral Farfán, Emilia (57217135020); Galo Alvarenga, Selvin (57217133175); Flores García, Rebeca (57217137644); Paredes Cancino, Cristian (57217129635); García Zaragoza, Viridiana (57217129708); Bonilla Solano, Antonio (57217133812)","56000894900; 57210344722; 55330821600; 55989773800; 57217132132; 57222579710; 57217133447; 57217135020; 57217133175; 57217137644; 57217129635; 57217129708; 57217133812","Matemática educativa, transversalidad y COVID-19","2020","Revista Latinoamericana de Investigacion en Matematica Educativa","23","1","","1","19","18","4","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086412273&partnerID=40&md5=2f2ce1eb27eb15b6f52af367f7aad429","Programa Interdisciplinario para el Desarrollo Profesional Docente en Matemáticas DME - Cinvestav, IPN, Mexico; Estudiante de posgrado, DME - Cinvestav, IPN, Mexico; Unidad Multidisciplinaria de Docencia e Investigación, Facultad de Ciencias, Campus Juriquilla, UNAM, Mexico; Instituto Mexicano del Seguro Social - IMSS, Mexico; CBT Edo. de Méx, Mexico; Hospital General de Zona Núm. 32, IMSS, Mexico; UCR, San José, Costa Rica; Estudiante de Maestría DME, Cinvestav, Mexico","Cantoral R., Programa Interdisciplinario para el Desarrollo Profesional Docente en Matemáticas DME - Cinvestav, IPN, Mexico; Ríos Jarquín W., Programa Interdisciplinario para el Desarrollo Profesional Docente en Matemáticas DME - Cinvestav, IPN, Mexico; Reyes Gasperini D., Programa Interdisciplinario para el Desarrollo Profesional Docente en Matemáticas DME - Cinvestav, IPN, Mexico; Cantoral Uriza E.A., Unidad Multidisciplinaria de Docencia e Investigación, Facultad de Ciencias, Campus Juriquilla, UNAM, Mexico; Barrios E.B., Estudiante de posgrado, DME - Cinvestav, IPN, Mexico, Estudiante de Maestría DME, Cinvestav, Mexico; Fallas Soto R., Programa Interdisciplinario para el Desarrollo Profesional Docente en Matemáticas DME - Cinvestav, IPN, Mexico, UCR, San José, Costa Rica; Castillo Bárcena D., Instituto Mexicano del Seguro Social - IMSS, Mexico, Hospital General de Zona Núm. 32, IMSS, Mexico; Cantoral Farfán E., Instituto Mexicano del Seguro Social - IMSS, Mexico, Hospital General de Zona Núm. 32, IMSS, Mexico; Galo Alvarenga S., Estudiante de posgrado, DME - Cinvestav, IPN, Mexico; Flores García R., Programa Interdisciplinario para el Desarrollo Profesional Docente en Matemáticas DME - Cinvestav, IPN, Mexico, CBT Edo. de Méx, Mexico; Paredes Cancino C., Programa Interdisciplinario para el Desarrollo Profesional Docente en Matemáticas DME - Cinvestav, IPN, Mexico; García Zaragoza V., Estudiante de posgrado, DME - Cinvestav, IPN, Mexico; Bonilla Solano A., Estudiante de posgrado, DME - Cinvestav, IPN, Mexico","[No abstract available]","","","Spanish","Article","Final","","Scopus","2-s2.0-85086412273"
"Cantoral R.","Cantoral, Ricardo (56000894900)","56000894900","Ways of institutional dissemination of knowledge: A role for relime; [Formas de difusión institucional del conocimiento: Un papel para relime]","2019","Revista Latinoamericana de Investigacion en Matematica Educativa","22","3","","255","260","5","2","10.12802/relime.19.2230","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077994094&doi=10.12802%2frelime.19.2230&partnerID=40&md5=5e34d9cd935180cf21c4a456cfd7b545","Departamento de Matemática Educativa, Cinvestav-IPN, Mexico","Cantoral R., Departamento de Matemática Educativa, Cinvestav-IPN, Mexico","[No abstract available]","","","Spanish","Editorial","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85077994094"
"González O.L.P.","González, Olga Lidia Pérez (57203386646)","57203386646","Educational mathematics in camagüey: Social impact of a master’s degree program; [La matemática educativa en camagüey: Incidencia social de un programa de maestría]","2018","Revista Latinoamericana de Investigacion en Matematica Educativa","21","2","","","","6","1","10.12802/relime.18.2120","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053074664&doi=10.12802%2frelime.18.2120&partnerID=40&md5=ce035e2a30047d810bc033d5346c0037","Universidad de Camagüey Ignacio Agramonte Loynaz, Cuba","González O.L.P., Universidad de Camagüey Ignacio Agramonte Loynaz, Cuba","[No abstract available]","","","English","Note","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85053074664"
"Cardoso P.; Mamede E.","Cardoso, Paula (57216927190); Mamede, Ema (55303714600)","57216927190; 55303714600","Investigating teacher practices on fractions in a collaborative Work context; [investigando a prática do professor no ensino de frações num conteXto de traBalHo colaBorativo]","2023","Revista Latinoamericana de Investigacion en Matematica Educativa","26","2","","233","260","27","0","10.12802/relime.23.2624","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205237650&doi=10.12802%2frelime.23.2624&partnerID=40&md5=10079bb8cf19c96d5ddc4065568f1834","CIEC-Universidade do Minho, Braga, Portugal","Cardoso P., CIEC-Universidade do Minho, Braga, Portugal; Mamede E., CIEC-Universidade do Minho, Braga, Portugal","This study aims to understand the teaching practices of teachers in the 1st cycle of Basic Education when introducing the concept of fractions to their students. It seeks to answer the questions: 1) How does the teacher introduce the concept of fraction to his students? 2) How does the teacher explore fraction interpretations in his classes? 3) What difficulties does the teacher experience in teaching fractions? A qualitative methodology was adopted in a case study approach to analyze six observed classes of a teacher who participated in a collaborative work program, focused on teaching fractions. The results suggest some weaknesses in the teacher’s mathematical and didactic knowledge about fractions, namely in the interpretations of fractions, their approach and articulation in mathematics classes. © 2023, Comite Latinoamericano de Matematica Educativa. All rights reserved.","Collaborative work; Learning fractions; Teacher’s knowledge; Teaching fractions","","Portuguese","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85205237650"
"Fioravanti Pereira R.; Greca Dufranc I.M.; Meneses Villagra J.A.","Fioravanti Pereira, Rodrigo (57209364242); Greca Dufranc, Ileana Maria (6507671836); Meneses Villagra, Jesus Angel (6505650831)","57209364242; 6507671836; 6505650831","Ways of teaching statistics for the health area; [Caminhos do ensino de estatística para a área da saúde]","2019","Revista Latinoamericana de Investigacion en Matematica Educativa","22","1","","67","96","29","0","10.12802/RELIME.19.2213","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067551606&doi=10.12802%2fRELIME.19.2213&partnerID=40&md5=a2adbaa05b2bd0de2ffc867a30f857fa","Centro Universitário Franciscano, Brazil; Universidad de Burgos, Spain","Fioravanti Pereira R., Centro Universitário Franciscano, Brazil; Greca Dufranc I.M., Universidad de Burgos, Spain; Meneses Villagra J.A., Universidad de Burgos, Spain","Statistical support to the health field has widely grown and continues advancing, especially after the popularization of computers and specific software. Terms such as ‘evidence-based practice’ and ‘epidemiology’ have the Statistics as one of their pillars and are common to the health area. Given the Statistics’ importance, many efforts to improve its teaching and learning have been disseminated in academia. This work shows and analyzes the ways the teaching of Statistics has taken, considering the bibliographical review by Garfield (1995), reestablished by Garfield and Ben-Zvi (2007), focusing on the specific case of the health area by our literature review. This last review included articles published from 2007 to 2017 in journals from health and teaching areas. The literature review analyzed 26 articles, which were classified into two categories: psychological aspects and teaching methodologies. The teaching of Statistics has evolved as an area of study and research. Individual and specific efforts have now received proper institutional guidelines for the teaching of Statistics. However, there are few instruments for evaluating what students learn. Yet, the use of theories of learning is minimal, what impacts on methodologies highly based only on the teachers’ practice. © 2019, Comite Latinoamericano de Matematica Educativa. All rights reserved.","Evaluation; Health area; Literature review; Statistics","","Portuguese","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85067551606"
